date,label,open,high,low,close,volume
10/29/2019 0:00,ETH/USD,182.25,193.65,181.78,191.29,10619250.71
10/28/2019 0:00,ETH/USD,184.58,190.72,181.27,182.25,7076075.02
10/27/2019 0:00,ETH/USD,180.42,189.32,177.2,184.58,10731296.72
10/26/2019 0:00,ETH/USD,181.95,199.08,174.2,180.42,32984901.65
10/25/2019 0:00,ETH/USD,161.18,188,160.95,181.95,20397995.92
10/24/2019 0:00,ETH/USD,162.94,164.36,157.79,161.18,16068171.78
10/23/2019 0:00,ETH/USD,171.82,172.2,153.21,162.94,19327834.58
10/22/2019 0:00,ETH/USD,175.02,177.13,170.93,171.82,6745573.11
10/21/2019 0:00,ETH/USD,176.11,179.43,172.5,175.02,6821204.98
10/20/2019 0:00,ETH/USD,172.59,177.58,170.03,176.11,5219002.28
10/19/2019 0:00,ETH/USD,173.64,175.81,170.51,172.59,5712195.45
10/18/2019 0:00,ETH/USD,177.49,178.12,167.97,173.64,9320601.41
10/17/2019 0:00,ETH/USD,175,180.76,173.18,177.49,5296240.6
10/16/2019 0:00,ETH/USD,181.02,181.8,172.53,175,10136276.17
10/15/2019 0:00,ETH/USD,187.21,189,176.25,181.02,11432738.51
10/14/2019 0:00,ETH/USD,181.57,187.72,181,187.21,7592962.76
10/13/2019 0:00,ETH/USD,180.16,184.97,179.02,181.57,4632974.69
10/12/2019 0:00,ETH/USD,181.09,185.1,178,180.16,6580920.38
10/11/2019 0:00,ETH/USD,192.06,198,179.38,181.09,20427113.28
10/10/2019 0:00,ETH/USD,193.51,194.95,188.03,192.06,7121379.81
10/9/2019 0:00,ETH/USD,181.5,196.36,179.77,193.51,21677381.67
10/8/2019 0:00,ETH/USD,180.66,185.84,178.16,181.5,8451550.89
10/7/2019 0:00,ETH/USD,170.56,183.45,169.01,180.66,15348548.61
10/6/2019 0:00,ETH/USD,176.93,177.5,168.2,170.56,11004967.64
10/5/2019 0:00,ETH/USD,176.19,177.49,172.53,176.93,6935334.81
10/4/2019 0:00,ETH/USD,175.36,179.83,171.48,176.19,6737771.95
10/3/2019 0:00,ETH/USD,181.24,181.66,170.14,175.36,9942044.16
10/2/2019 0:00,ETH/USD,176.41,183.14,174.32,181.24,7154573.6
10/1/2019 0:00,ETH/USD,181.94,186.56,174,176.41,17068709.2
9/30/2019 0:00,ETH/USD,169.87,182.5,165.56,181.94,18915237.45
9/29/2019 0:00,ETH/USD,174.41,175.1,164.38,169.87,12220468.25
9/28/2019 0:00,ETH/USD,174.61,176.23,169.04,174.41,9708322.91
9/27/2019 0:00,ETH/USD,166.77,177.73,162,174.61,12742540.6
9/26/2019 0:00,ETH/USD,170.67,171.43,153.12,166.77,18769367.41
9/25/2019 0:00,ETH/USD,166.54,175.42,162.82,170.67,19444851.34
9/24/2019 0:00,ETH/USD,201.29,202.73,153.79,166.54,61150307.38
9/23/2019 0:00,ETH/USD,211.26,212.21,199,201.29,15216525.28
9/22/2019 0:00,ETH/USD,215.56,216,206.5,211.26,14061299
9/21/2019 0:00,ETH/USD,218.71,221.9,213.82,215.56,9072980.69
9/20/2019 0:00,ETH/USD,221.47,222.82,212.32,218.71,12344618.37
